1;1;2;9368;7302;9624
2;1;3;8960;10058;9798
3;1;4;8686;10369;8497
4;1;5;9864;11422;13703
5;1;6;10145;9072;8102
6;2;1;8071;9167;11406
7;2;2;15990;8646;8904
8;2;3;12319;13367;10646
9;2;4;11927;21021;13504
10;2;5;8655;8639;1087011
11;2;6;12745;10703;11353
12;1;1;10009;10408;11712
14;1;3;8802;11536;8663
2;6;14745;10542;1234615;1;4;8088;9306;8481
15;1;4;9713;11096;9120
